url,content
https://quotes.toscrape.com/tag/world/page/1/,“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”
https://quotes.toscrape.com/tag/inspirational/page/1/,"“When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.”"
https://quotes.toscrape.com/tag/deep-thoughts/page/1/,“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”
https://quotes.toscrape.com/tag/simile/,"“A day without sunshine is like, you know, night.”"
https://quotes.toscrape.com/tag/simile/,"“Life is like riding a bicycle. To keep your balance, you must keep moving.”"
https://quotes.toscrape.com/tag/simile/,"“He's like a drug for you, Bella.”"
https://quotes.toscrape.com/tag/friendship/,"“It is not a lack of love, but a lack of friendship that makes unhappy marriages.”"
https://quotes.toscrape.com/tag/friendship/,"“Good friends, good books, and a sleepy conscience: this is the ideal life.”"
https://quotes.toscrape.com/tag/friendship/,"“The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.”"
https://quotes.toscrape.com/tag/friendship/,"“There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”"
https://quotes.toscrape.com/tag/friendship/,“If I had a flower for every time I thought of you...I could walk through my garden forever.”
https://quotes.toscrape.com/tag/thinking/page/1/,“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”
https://quotes.toscrape.com/tag/thinking/page/1/,"“The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.”"
https://quotes.toscrape.com/tag/friends/,"“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”"
https://quotes.toscrape.com/tag/friends/,"“It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.”"
https://quotes.toscrape.com/tag/friends/,"“Good friends, good books, and a sleepy conscience: this is the ideal life.”"
https://quotes.toscrape.com/tag/friends/,“There is no friend as loyal as a book.”
https://quotes.toscrape.com/tag/change/page/1/,“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”
https://quotes.toscrape.com/tag/truth/,“The reason I talk to myself is because I’m the only one whose answers I accept.”
https://quotes.toscrape.com/tag/truth/,“A lie can travel half way around the world while the truth is putting on its shoes.”
https://quotes.toscrape.com/tag/truth/,"“The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.”"
https://quotes.toscrape.com/tag/truth/,“Never tell the truth to people who are not worthy of it.”
https://quotes.toscrape.com/tag/reading/,"“The more that you read, the more things you will know. The more that you learn, the more places you'll go.”"
https://quotes.toscrape.com/tag/reading/,“We read to know we're not alone.”
https://quotes.toscrape.com/tag/reading/,"“A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.”"
https://quotes.toscrape.com/tag/reading/,“You can never get a cup of tea large enough or a book long enough to suit me.”
https://quotes.toscrape.com/tag/reading/,"“What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.”"
https://quotes.toscrape.com/tag/reading/,“′Classic′ - a book which people praise and don't read.”
https://quotes.toscrape.com/tag/reading/,"“I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library.”"
https://quotes.toscrape.com/tag/books/,"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”"
https://quotes.toscrape.com/tag/books/,"“Good friends, good books, and a sleepy conscience: this is the ideal life.”"
https://quotes.toscrape.com/tag/books/,“I have always imagined that Paradise will be a kind of library.”
https://quotes.toscrape.com/tag/books/,“You can never get a cup of tea large enough or a book long enough to suit me.”
https://quotes.toscrape.com/tag/books/,"“If you only read the books that everyone else is reading, you can only think what everyone else is thinking.”"
https://quotes.toscrape.com/tag/books/,“There is no friend as loyal as a book.”
https://quotes.toscrape.com/tag/books/,"“What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.”"
https://quotes.toscrape.com/tag/books/,“′Classic′ - a book which people praise and don't read.”
https://quotes.toscrape.com/tag/books/,"“I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library.”"
https://quotes.toscrape.com/tag/books/,"“You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children.”"
https://quotes.toscrape.com/tag/humor/,"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”"
https://quotes.toscrape.com/tag/humor/,"“A day without sunshine is like, you know, night.”"
https://quotes.toscrape.com/tag/humor/,“Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.”
https://quotes.toscrape.com/tag/humor/,“Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.”
https://quotes.toscrape.com/tag/humor/,“All you need is love. But a little chocolate now and then doesn't hurt.”
https://quotes.toscrape.com/tag/humor/,"“Remember, we're madly in love, so it's all right to kiss me anytime you feel like it.”"
https://quotes.toscrape.com/tag/humor/,“Some people never go crazy. What truly horrible lives they must lead.”
https://quotes.toscrape.com/tag/humor/,"“The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.”"
https://quotes.toscrape.com/tag/humor/,"“Think left and think right and think low and think high. Oh, the thinks you can think up if only you try!”"
https://quotes.toscrape.com/tag/humor/,“The reason I talk to myself is because I’m the only one whose answers I accept.”
https://quotes.toscrape.com/tag/life/,“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”
https://quotes.toscrape.com/tag/life/,“It is better to be hated for what you are than to be loved for what you are not.”
https://quotes.toscrape.com/tag/life/,"“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”"
https://quotes.toscrape.com/tag/life/,"“I may not have gone where I intended to go, but I think I have ended up where I needed to be.”"
https://quotes.toscrape.com/tag/life/,"“Good friends, good books, and a sleepy conscience: this is the ideal life.”"
https://quotes.toscrape.com/tag/life/,“Life is what happens to us while we are making other plans.”
https://quotes.toscrape.com/tag/life/,"“Today you are You, that is truer than true. There is no one alive who is Youer than You.”"
https://quotes.toscrape.com/tag/life/,"“Life is like riding a bicycle. To keep your balance, you must keep moving.”"
https://quotes.toscrape.com/tag/life/,“Life isn't about finding yourself. Life is about creating yourself.”
https://quotes.toscrape.com/tag/life/,“Finish each day and be done with it. You have done what you could. Some blunders and absurdities no doubt crept in; forget them as soon as you can. Tomorrow is a new day. You shall begin it serenely and with too high a spirit to be encumbered with your old nonsense.”
https://quotes.toscrape.com/tag/inspirational/,“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”
https://quotes.toscrape.com/tag/inspirational/,"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”"
https://quotes.toscrape.com/tag/inspirational/,"“I have not failed. I've just found 10,000 ways that won't work.”"
